Date,Sentiment,Price
2023-06-17,Neutral,45516.43859180257
2023-06-18,Greed,52474.30123629844
2023-06-19,Fear,34338.933622821576
2023-06-20,Greed,54384.78589273789
2023-06-21,Fear,34489.997974843485
2023-06-22,Fear,31976.507800832715
2023-06-23,Greed,48209.301145182915
2023-06-24,Greed,52565.78101179833
2023-06-25,Fear,31372.308892264828
2023-06-26,Greed,51917.63872167461
2023-06-27,Neutral,45055.898207613674
2023-06-28,Greed,51490.59227969125
2023-06-29,Fear,33265.19553368882
2023-06-30,Neutral,48210.805825666714
2023-07-01,Fear,32634.103017704554
2023-07-02,Neutral,45165.842465420545
2023-07-03,Neutral,44432.31762455914
2023-07-04,Neutral,45524.447617853446
2023-07-05,Greed,44516.616710132555
2023-07-06,Neutral,45287.96741937183
2023-07-07,Neutral,47366.719991213264
2023-07-08,Fear,32765.31020805293
2023-07-09,Fear,31429.73457311146
2023-07-10,Fear,33874.778805169255
2023-07-11,Fear,36558.35987174994
2023-07-12,Neutral,43794.958781425215
2023-07-13,Neutral,46003.19360175361
2023-07-14,Fear,33453.84809505005
2023-07-15,Greed,58353.993838867755
2023-07-16,Fear,36758.95328274014
2023-07-17,Fear,32459.826788894105
2023-07-18,Neutral,45209.26508759172
2023-07-19,Neutral,45293.14193037677
2023-07-20,Fear,36083.77186968956
2023-07-21,Neutral,44277.117551683594
2023-07-22,Neutral,45565.454142442286
2023-07-23,Greed,57997.57048745405
2023-07-24,Greed,56365.98001366238
2023-07-25,Neutral,48064.68169333405
2023-07-26,Neutral,43939.45725556503
2023-07-27,Neutral,45549.03770428372
2023-07-28,Neutral,42430.600621210026
2023-07-29,Greed,54396.24958233117
2023-07-30,Greed,52178.35637834271
2023-07-31,Neutral,42150.93271787761
2023-08-01,Fear,30119.9296134786
2023-08-02,Fear,36550.757083436554
2023-08-03,Greed,53097.09268785182
2023-08-04,Greed,58594.802173384895
2023-08-05,Neutral,44430.69859654384
2023-08-06,Greed,55113.005799990744
2023-08-07,Greed,50161.21390060038
2023-08-08,Greed,46959.221096080655
2023-08-09,Neutral,45217.10011007775
2023-08-10,Neutral,47077.138181378476
2023-08-11,Fear,32751.28068900609
2023-08-12,Fear,34743.16529981757
2023-08-13,Neutral,44081.50283369493
2023-08-14,Fear,32144.033170350238
2023-08-15,Fear,34457.21129110757
2023-08-16,Fear,35653.8418835241
2023-08-17,Fear,39551.88833632447
2023-08-18,Fear,34948.122705037946
2023-08-19,Greed,57829.09689657361
2023-08-20,Neutral,45926.83127613792
2023-08-21,Greed,56829.92250615556
2023-08-22,Greed,49254.71444232164
2023-08-23,Fear,32797.6916480868
2023-08-24,Fear,36398.05424469762
2023-08-25,Greed,50470.80007795547
2023-08-26,Fear,39691.014819759905
2023-08-27,Fear,38996.10307525325
2023-08-28,Fear,33945.75600934639
2023-08-29,Greed,57588.1435450422
2023-08-30,Neutral,48187.58711531607
2023-08-31,Neutral,46276.167157863885
2023-09-01,Greed,53106.54389969335
2023-09-02,Neutral,44346.468518155925
2023-09-03,Fear,33437.55683348543
2023-09-04,Greed,51200.5455899318
2023-09-05,Greed,49645.31007350431
2023-09-06,Greed,54107.78039755295
2023-09-07,Neutral,46943.21702661038
2023-09-08,Neutral,48918.05941478276
2023-09-09,Greed,52826.27076149475
2023-09-10,Fear,34852.84171252945
2023-09-11,Greed,61376.74295600822
2023-09-12,Fear,36824.29563986787
2023-09-13,Fear,32529.627972713504
2023-09-14,Neutral,47828.13930511708
2023-09-15,Fear,40312.094507456684
2023-09-16,Greed,56397.698960386435
2023-09-17,Fear,37196.37626328156
2023-09-18,Greed,56198.74445017839
2023-09-19,Neutral,45248.51488982882
2023-09-20,Neutral,45845.86744478038
2023-09-21,Fear,38921.82838722115
2023-09-22,Greed,59020.78212067248
2023-09-23,Greed,52628.39147463812
2023-09-24,Neutral,44715.56782234315
2023-09-25,Neutral,45878.84413497713
2023-09-26,Fear,37086.72239212414
2023-09-27,Greed,53063.64209531371
2023-09-28,Greed,53827.73883581403
2023-09-29,Neutral,42519.79473705581
2023-09-30,Neutral,41472.16960973072
2023-10-01,Greed,50054.41951855453
2023-10-02,Neutral,46147.405735420965
2023-10-03,Fear,39401.3251497426
2023-10-04,Neutral,42973.21960475746
2023-10-05,Greed,55439.69432545002
2023-10-06,Greed,53860.562783551664
2023-10-07,Neutral,44434.69958778315
2023-10-08,Greed,53799.46957803403
2023-10-09,Greed,55288.75105771756
2023-10-10,Greed,54457.96166825621
2023-10-11,Fear,38793.077775103266
2023-10-12,Fear,34038.913114423136
2023-10-13,Neutral,49886.5030152584
2023-10-14,Fear,35517.6430586544
2023-10-15,Neutral,42763.85647297854
2023-10-16,Greed,53280.10078441482
2023-10-17,Fear,33228.76872157115
2023-10-18,Fear,35410.468336152626
2023-10-19,Neutral,43768.68895426028
2023-10-20,Greed,51318.442613307816
2023-10-21,Neutral,45272.92909056358
2023-10-22,Neutral,47993.84553901833
2023-10-23,Greed,54657.93823923013
2023-10-24,Greed,57969.650907445386
2023-10-25,Neutral,46368.9705617442
2023-10-26,Greed,49250.08812569644
2023-10-27,Neutral,46657.15102991208
2023-10-28,Neutral,45599.56608146385
2023-10-29,Neutral,47083.65124644798
2023-10-30,Greed,55047.11635017453
2023-10-31,Greed,52943.57635888413
2023-11-01,Fear,32839.61491170066
2023-11-02,Fear,36280.56014410465
2023-11-03,Fear,36753.79634475405
2023-11-04,Fear,36677.929245352396
2023-11-05,Neutral,47354.564128495884
2023-11-06,Greed,49314.96659139859
2023-11-07,Fear,35873.193972234825
2023-11-08,Neutral,42140.3401484662
2023-11-09,Neutral,46288.615216843486
2023-11-10,Greed,50373.66000536871
2023-11-11,Greed,55057.86574292751
2023-11-12,Fear,36385.672857754005
2023-11-13,Greed,53748.27260411876
2023-11-14,Greed,53454.88442688647
2023-11-15,Greed,52477.57319155219
2023-11-16,Fear,32888.65561074132
2023-11-17,Fear,34891.85830794649
2023-11-18,Greed,50768.03615256453
2023-11-19,Neutral,43369.1371102136
2023-11-20,Neutral,46671.15801397422
2023-11-21,Fear,34730.52391438177
2023-11-22,Fear,35681.63753652215
2023-11-23,Greed,56238.82928258251
2023-11-24,Neutral,46549.120533593574
2023-11-25,Fear,36183.943578643804
2023-11-26,Neutral,48597.686319124
2023-11-27,Greed,53315.12070602615
2023-11-28,Neutral,46152.481598136364
2023-11-29,Greed,49117.16320867404
2023-11-30,Greed,50102.497170191615
2023-12-01,Greed,55005.08977061919
2023-12-02,Fear,37644.15262206456
2023-12-03,Neutral,46666.64494662396
2023-12-04,Greed,54739.56655388302
2023-12-05,Neutral,45169.700864533515
2023-12-06,Fear,37196.9422171326
2023-12-07,Neutral,44608.859351680905
2023-12-08,Neutral,46531.04057835014
2023-12-09,Neutral,46104.21058977748
2023-12-10,Neutral,45572.9932340651
2023-12-11,Greed,51930.4187773964
2023-12-12,Neutral,43757.063072206955
2023-12-13,Fear,36722.67651438626
2023-12-14,Neutral,44744.72281729797
2023-12-15,Fear,38262.39870689924
2023-12-16,Greed,49958.90901593188
2023-12-17,Neutral,46437.74079562539
2023-12-18,Neutral,44556.84164168186
2023-12-19,Neutral,49672.13031792174
2023-12-20,Neutral,43294.76853141609
2023-12-21,Greed,49941.09728148517
2023-12-22,Greed,50528.66956122384
2023-12-23,Neutral,46740.8300084142
2023-12-24,Fear,38650.02669101455
2023-12-25,Neutral,41764.319861482116
2023-12-26,Neutral,43403.98517296817
2023-12-27,Greed,53636.11603498946
2023-12-28,Fear,39373.269047268856
2023-12-29,Fear,37311.508458750366
2023-12-30,Neutral,47120.71338400942
2023-12-31,Greed,53623.145678274115
2023-02-20,Greed,53617.16261108691
2023-02-21,Fear,37652.59927438706
2023-02-22,Neutral,46515.12237379295
2023-02-23,Greed,53986.96077792079
2023-02-24,Neutral,43116.15181162005
